lon,lat,next_t_ecl,next_t_ecl2
-67,24,5126432165.786679,2132-06-13
-66,24,5126432326.096974,2132-06-13
-125,25,10231885783.530834,2294-03-27
-124,25,10231885784.692848,2294-03-27
-123,25,10231885787.729322,2294-03-27
-122,25,8690768112.265797,2245-05-26
-121,25,10142577693.277874,2291-05-28
-120,25,10142577799.35893,2291-05-28
-119,25,10142577901.731741,2291-05-28
-118,25,8001935524.283489,2223-07-28
-117,25,8001935573.375156,2223-07-28
-116,25,8001935619.935797,2223-07-28
-115,25,8001935664.018318,2223-07-28
-114,25,10142578359.335535,2291-05-28
-113,25,10231885929.623262,2294-03-27
-112,25,17898965645.608936,2537-03-12
-111,25,17898965718.835495,2537-03-12
-110,25,26913167535.63672,2822-11-04
-109,25,5111134184.424601,2131-12-19
-108,25,5111134245.245956,2131-12-19
-107,25,2715292470.709893,2056-01-16
-106,25,2715292499.7438936,2056-01-16
-105,25,1712600127.2687182,2024-04-08
-104,25,1712600225.7301836,2024-04-08
-103,25,11895372647.539543,2346-12-13
-102,25,7506928006.60197,2207-11-20
-101,25,7506928127.44352,2207-11-20
-100,25,3419516326.416282,2078-05-11
-99,25,2595436970.081896,2052-03-30
-98,25,2595437110.605575,2052-03-30
-97,25,2595437251.376568,2052-03-30
-96,25,12538364912.325216,2367-04-29
-95,25,12538364955.777285,2367-04-29
-94,25,12538364996.187084,2367-04-29
-93,25,7057831754.346893,2193-08-26
-92,25,12538365068.191763,2367-04-29
-91,25,3404217140.772906,2077-11-15
-90,25,3404217239.6602793,2077-11-15
-89,25,3404217341.452928,2077-11-15
-88,25,9213861059.929289,2261-12-22
-87,25,8524976594.706823,2240-02-23
-86,25,8524976773.878572,2240-02-23
-85,25,8524976953.286974,2240-02-23
-84,25,8524977132.661137,2240-02-23
-83,25,8524977311.739063,2240-02-23
-82,25,8524977490.27875,2240-02-23
-81,25,8524977668.050186,2240-02-23
-80,25,7177832680.92691,2197-06-15
-79,25,2386172538.179366,2045-08-12
-78,25,2386172649.250822,2045-08-12
-77,25,2386172758.568475,2045-08-12
-76,25,2386172866.132164,2045-08-12
-75,25,7522223850.610645,2208-05-15
-74,25,7522224010.9060135,2208-05-15
-73,25,5800006053.512371,2153-10-17
-72,25,5800006162.218038,2153-10-17
-71,25,11280510851.839811,2327-06-20
-70,25,11071251618.943884,2320-11-01
-69,25,9918093671.380623,2284-04-16
-68,25,9918093795.60091,2284-04-16
-67,25,12584316552.716692,2368-10-12
-66,25,4093087719.5372386,2099-09-14
-125,26,10142577187.95746,2291-05-28
-124,26,10142577307.306238,2291-05-28
-123,26,10142577423.035002,2291-05-28
-122,26,10142577535.134293,2291-05-28
-121,26,10142577643.6054,2291-05-28
-120,26,8001935329.736124,2223-07-28
-119,26,8001935384.544436,2223-07-28
-118,26,8001935436.732003,2223-07-28
-117,26,8001935486.352655,2223-07-28
-116,26,10231885960.068842,2294-03-27
-115,26,10231885980.449219,2294-03-27
-114,26,10231886003.05988,2294-03-27
-113,26,10231886027.940693,2294-03-27
-112,26,10231886055.131453,2294-03-27
-111,26,10231886084.671747,2294-03-27
-110,26,5111134138.854218,2131-12-19
-109,26,5111134196.100578,2131-12-19
-108,26,5111134256.456235,2131-12-19
-107,26,5111134320.012116,2131-12-19
-106,26,5111134386.8639765,2131-12-19
-105,26,2715292503.3022733,2056-01-16
-104,26,1712600340.6977355,2024-04-08
-103,26,1712600439.7470071,2024-04-08
